Time,X,Y,Z,Vx,Vy,Vz
0,1,0.3,1,1.13101589679718,0.034910012036562,-0.0606850422918797
0.1,1.11310158967972,0.303491001203656,0.993931495770812,1.13363897800446,0.0364974476397038,-0.059258446097374
0.2,1.22646548748016,0.307140745967627,0.988005651161075,1.13667368888855,0.038116741925478,-0.0581741034984589
0.3,1.34013285636902,0.310952420160174,0.982188240811229,1.13982748985291,0.0398382693529129,-0.0572144165635109
0.4,1.45411560535431,0.314936247095466,0.976466799154878,1.14314877986908,0.0417444929480553,-0.0563429966568947
0.5,1.56843048334122,0.319110696390271,0.970832499489188,1.14647245407104,0.0435706414282322,-0.0554246455430984
0.6,1.68307772874832,0.323467760533094,0.965290034934878,1.14941382408142,0.0456152893602848,-0.0545097924768925
0.7,1.79801911115646,0.328029289469123,0.959839055687189,1.15216469764709,0.0477221086621284,-0.0533674545586109
0.8,1.91323558092117,0.332801500335336,0.954502310231328,1.1543470621109,0.0499944612383842,-0.0518444068729877
0.9,2.02867028713226,0.337800946459174,0.949317869544029,1.15603601932526,0.0522688366472721,-0.0494365729391575
1,2.14427388906479,0.343027830123901,0.944374212250114,1.15717256069183,0.0546377599239349,-0.0466465540230274
1.1,2.25999114513397,0.348491606116295,0.939709556847811,1.15799486637115,0.0570123828947544,-0.0429130643606186
1.2,2.37579063177109,0.35419284440577,0.935418250411749,1.15842592716217,0.0593124441802502,-0.0382482260465622
1.3,2.4916332244873,0.360124088823795,0.931593427807093,1.15863716602325,0.0613251626491547,-0.0327871441841125
1.4,2.60749694108963,0.366256605088711,0.928314713388681,1.15865516662598,0.0629948675632477,-0.0264988709241152
1.5,2.72336245775223,0.372556091845036,0.92566482629627,1.15847086906433,0.064448781311512,-0.0197686217725277
1.6,2.83920954465866,0.379000969976187,0.923687964119017,1.1579784154892,0.0653783604502678,-0.0131158316507936
1.7,2.95500738620758,0.385538806021213,0.922376380953938,1.15721452236176,0.0657186955213547,-0.0058994316495955
1.8,3.07072883844376,0.392110675573349,0.921786437788978,1.15632390975952,0.0653400272130966,0.00151387543883175
1.9,3.18636122941971,0.398644678294659,0.921937825332861,1.15523970127106,0.0643096640706062,0.00868645589798689
2,3.30188519954681,0.405075644701719,0.92280647092266,1.15428364276886,0.0623654164373875,0.0160016231238842
2.1,3.4173135638237,0.411312186345458,0.924406633235049,1.15321731567383,0.0591769218444824,0.0233188290148973
2.2,3.53263529539108,0.417229878529906,0.926738516136538,1.15229749679565,0.0548144727945328,0.0301422961056232
2.3,3.64786504507065,0.42271132580936,0.929752745747101,1.15154230594635,0.0496659204363823,0.0375022739171982
2.4,3.76301927566528,0.427677917852998,0.93350297313882,1.15147924423218,0.0436555482447147,0.0445832312107086
2.5,3.8781672000885,0.432043472677469,0.937961296259891,1.15348780155182,0.0382379442453384,0.0516040399670601
2.6,3.99351598024368,0.435867267102003,0.943121700256597,1.15787923336029,0.0348887108266354,0.0585905462503433
2.7,4.10930390357971,0.439356138184667,0.948980754881632,1.16395854949951,0.0349655412137508,0.0637986212968826
2.8,4.22569975852966,0.442852692306042,0.95536061701132,1.1724169254303,0.038935087621212,0.0680357068777084
2.9,4.34294145107269,0.446746201068163,0.962164187699091,1.18059277534485,0.046765860170126,0.071148693561554
3,4.46100072860718,0.451422787085176,0.969279057055246,1.18716585636139,0.0586851388216019,0.0740599855780602
3.1,4.57971731424332,0.457291300967336,0.976685055613052,1.18817031383514,0.074037030339241,0.0770315900444984
